,equity_premium,term_premium,credit_spread,inflation,liquidity
US Large Cap Equity,0.9793425414193206,0.020874562895222715,0.19901412769104354,0.7176449672055867,0.005337432271770082
US Mid Cap Equity,0.8150774240568861,-0.03080766366180132,3.4887707543711883,2.734491218544804,0.12386168984905055
US Small Cap Equity,0.9628322446122715,-0.0892816700061978,2.8131350304257694,-0.5545409460988253,0.10099742327637351
Emerging Market Equity,0.7449298939758666,0.2883810377206819,7.482643763631927,10.148753602785575,-0.14625785126118052
Long Duration Treasury,0.07165021511635317,1.119466767633523,0.2535053694593934,-2.545739106243225,-0.019094596938405817
TIPS,0.10076200915453049,0.5236630717149586,0.37140086706800446,6.581570876330339,-0.0507481586764964
Investment Grade Credit,0.23234372158663025,0.5310143075680029,4.256152423538552,0.011002480661431946,0.03427385807073724
REITs,1.0311100527079375,0.3236862225041648,16.733337120211786,-16.982315010288744,-0.0944444235918418
Commodities,0.612814361486727,-0.5551614161113037,0.4703260000794671,5.516666992586124,0.1900891225528163
High Yield Credit,0.2968736681282671,0.15894621530701158,4.09920428209557,3.1009829832214564,-0.01565508245085745
Hedge Funds,0.18840164795368347,0.09489240915876485,3.715869728661339,1.7496907628314755,-0.02551255145562278
Private Equity,0.29230648435733286,-0.14146949363155326,2.3623807682468367,5.8207523850546465,-0.06729464244647665
Private Real Estate,0.19439261348301368,-0.10663829248812065,-2.4030979082794204,13.666775448366053,0.26281647198512076
