,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
US Large Cap Equity,1.0,0.9567,0.9328,0.8114,-0.3447,0.2042,0.3015,0.7527,0.4762,0.7315,0.8773,0.6208,0.1896
US Mid Cap Equity,0.9567,1.0,0.9565,0.7803,-0.4007,0.1714,0.2451,0.7347,0.5112,0.7186,0.8819,0.6131,0.1982
US Small Cap Equity,0.9328,0.9565,1.0,0.7359,-0.3821,0.0988,0.2237,0.7404,0.4377,0.6726,0.8379,0.5804,0.1634
Emerging Market Equity,0.8114,0.7803,0.7359,1.0,-0.3115,0.2692,0.3013,0.5869,0.4531,0.6466,0.8442,0.5565,0.1781
Long Duration Treasury,-0.3447,-0.4007,-0.3821,-0.3115,1.0,0.5245,0.6061,-0.0485,-0.5427,-0.1771,-0.3371,-0.3606,-0.1389
TIPS,0.2042,0.1714,0.0988,0.2692,0.5245,1.0,0.6076,0.2522,0.0637,0.3796,0.2253,0.1542,0.1725
Investment Grade Credit,0.3015,0.2451,0.2237,0.3013,0.6061,0.6076,1.0,0.3802,-0.1799,0.3748,0.3138,0.0716,-0.0755
REITs,0.7527,0.7347,0.7404,0.5869,-0.0485,0.2522,0.3802,1.0,0.2406,0.5815,0.6114,0.417,0.1521
Commodities,0.4762,0.5112,0.4377,0.4531,-0.5427,0.0637,-0.1799,0.2406,1.0,0.3828,0.4833,0.3987,0.2047
High Yield Credit,0.7315,0.7186,0.6726,0.6466,-0.1771,0.3796,0.3748,0.5815,0.3828,1.0,0.7044,0.5609,0.1762
Hedge Funds,0.8773,0.8819,0.8379,0.8442,-0.3371,0.2253,0.3138,0.6114,0.4833,0.7044,1.0,0.6398,0.1977
Private Equity,0.6208,0.6131,0.5804,0.5565,-0.3606,0.1542,0.0716,0.417,0.3987,0.5609,0.6398,1.0,0.4409
Private Real Estate,0.1896,0.1982,0.1634,0.1781,-0.1389,0.1725,-0.0755,0.1521,0.2047,0.1762,0.1977,0.4409,1.0
