,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
US Large Cap Equity,0.006716,0.007392,0.007954,0.007127,-0.00227,0.000434,0.00104,0.006911,0.005224,0.003055,0.002234,0.003774,0.001606
US Mid Cap Equity,0.007392,0.008889,0.009384,0.007886,-0.003036,0.000419,0.000973,0.00776,0.006452,0.003453,0.002584,0.004289,0.00193
US Small Cap Equity,0.007954,0.009384,0.010829,0.008209,-0.003196,0.000267,0.000979,0.008632,0.006097,0.003567,0.00271,0.004481,0.001757
Emerging Market Equity,0.007127,0.007886,0.008209,0.011489,-0.002683,0.000749,0.001359,0.007048,0.006501,0.003532,0.002812,0.004425,0.001972
Long Duration Treasury,-0.00227,-0.003036,-0.003196,-0.002683,0.006459,0.001094,0.00205,-0.000437,-0.005838,-0.000725,-0.000842,-0.00215,-0.001154
TIPS,0.000434,0.000419,0.000267,0.000749,0.001094,0.000674,0.000664,0.000734,0.000221,0.000502,0.000182,0.000297,0.000463
Investment Grade Credit,0.00104,0.000973,0.000979,0.001359,0.00205,0.000664,0.001771,0.001792,-0.001014,0.000804,0.00041,0.000223,-0.000328
REITs,0.006911,0.00776,0.008632,0.007048,-0.000437,0.000734,0.001792,0.012552,0.003608,0.00332,0.002129,0.003466,0.00176
Commodities,0.005224,0.006452,0.006097,0.006501,-0.005838,0.000221,-0.001014,0.003608,0.017917,0.002611,0.002011,0.00396,0.00283
High Yield Credit,0.003055,0.003453,0.003567,0.003532,-0.000725,0.000502,0.000804,0.00332,0.002611,0.002597,0.001116,0.002121,0.000928
Hedge Funds,0.002234,0.002584,0.00271,0.002812,-0.000842,0.000182,0.00041,0.002129,0.002011,0.001116,0.000966,0.001475,0.000635
Private Equity,0.003774,0.004289,0.004481,0.004425,-0.00215,0.000297,0.000223,0.003466,0.00396,0.002121,0.001475,0.005505,0.00338
Private Real Estate,0.001606,0.00193,0.001757,0.001972,-0.001154,0.000463,-0.000328,0.00176,0.00283,0.000928,0.000635,0.00338,0.010674
