,equal_weight,60_40,mvo,risk_parity,enhanced_hrp
US Large Cap Equity,0.076923,0.12,0.0,0.042398,0.01419
US Mid Cap Equity,0.076923,0.12,0.0,0.038381,0.01072
US Small Cap Equity,0.076923,0.12,0.0,0.037053,0.017857
Emerging Market Equity,0.076923,0.12,0.071137,0.035269,0.010182
Long Duration Treasury,0.076923,0.133333,0.29632,0.190106,0.05966
TIPS,0.076923,0.133333,0.0,0.156103,0.33164
Investment Grade Credit,0.076923,0.133333,0.0,0.09892,0.109206
REITs,0.076923,0.12,0.136463,0.033107,0.009319
Commodities,0.076923,0.0,0.0,0.054549,0.01806
High Yield Credit,0.076923,0.0,0.196079,0.071315,0.148392
Hedge Funds,0.076923,0.0,0.0,0.114708,0.228002
Private Equity,0.076923,0.0,0.282262,0.06079,0.028219
Private Real Estate,0.076923,0.0,0.017738,0.067301,0.014554
